procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 129293192  55952 320092    0    0     0   600 3601 11298  0  0 96  3  0
 0  2      0 129293264  56184 320204    0    0     0   724 3677 11618  0  0 96  3  0
 0  1      0 129292560  56408 320404    0    0     0   772 4044 12655  0  0 96  3  0
 0  1      0 129292944  56632 320328    0    0     0   764 3720 11843  0  0 97  3  0
13  1      0 129292992  56836 320672    0    0     0   692 3780 11810  0  0 97  3  0
 0  1      0 129292784  57048 320588    0    0     0   676 3558 11445  0  0 96  3  0
 0  2      0 129291664  57296 320980    0    0     0   772 3884 12485  0  0 96  3  0
 0  1      0 129291256  57528 321144    0    0     0   724 3647 12207  0  0 97  3  0
 0  2      0 129291272  57736 321328    0    0     0   680 3647 10875  0  0 96  3  0
 0  1      0 129291136  57952 321388    0    0     0   672 3755 11508  0  0 96  3  0
 0  1      0 129291472  58184 321532    0    0     0   700 3783 11768  0  0 96  3  0
 0  1      0 129290832  58424 321664    0    0     0   744 3612 12052  0  0 97  3  0
 0  1      0 129289464  58632 321600    0    0     0   688 3674 10886  0  0 97  3  0
 0  1      0 129289320  58856 321764    0    0     0   756 3799 13025  0  0 97  3  0
 0  1      0 129288992  59088 321780    0    0     0   680 3721 11713  0  0 97  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 129288784  59320 322064    0    0     0   748 3648 11751  0  0 97  3  0
 1  1      0 129288096  59536 322248    0    0     0   720 3891 12184  0  0 96  3  0
 0  1      0 129287984  59760 322392    0    0     0   708 3591 11445  0  0 97  3  0
 0  1      0 129286832  59968 322532    0    0     0   748 4016 11571  1  0 97  3  0
 0  1      0 129286496  60200 322668    0    0     0   804 4047 12528  0  0 96  3  0
 0  1      0 129285840  60424 322828    0    0     0   736 4059 12243  0  0 96  3  0
 0  2      0 129286744  60656 322656    0    0     0   728 3632 11678  0  0 96  3  0
 1  1      0 129286504  60872 323176    0    0     0   684 3733 11519  0  0 97  3  0
 0  1      0 129284304  61104 323148    0    0     0   760 3764 12351  0  0 96  3  0
 1  2      0 129284688  61328 323080    0    0     0   724 3695 11766  0  0 96  3  0
 0  1      0 129284616  61560 323480    0    0     0   692 3957 12133  0  0 96  3  0
 0  1      0 129284272  61776 323580    0    0     0   676 3888 11026  0  0 97  3  0
 0  1      0 129283536  62016 323632    0    0     0   704 4000 12265  0  0 96  3  0
 0  1      0 129283752  62240 323868    0    0     0   740 3783 11590  0  0 97  3  0
 0  2      0 129283304  62464 323900    0    0     0   720 3717 11660  0  0 96  3  0
 0  1      0 129282960  62672 324076    0    0     0   692 3911 11747  0  0 96  3  0
 0  1      0 129282592  62904 324184    0    0     0   780 3661 12374  0  0 97  3  0
 0  1      0 129281496  63128 324320    0    0     0   688 3758 12333  0  0 97  3  0
 1  1      0 129280488  63352 324428    0    0     0   704 3624 11000  0  0 97  3  0
 0  1      0 129280128  63576 324408    0    0     0   680 3770 11667  0  0 97  3  0
 0  1      0 129279344  63792 324516    0    0     0   668 3539 11321  0  0 96  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 129279128  64016 324672    0    0     0  1768 3754 11771  0  0 97  3  0
 1  1      0 129279048  64240 324780    0    0     0   708 4267 11999  1  0 96  3  0
 0  1      0 129279296  64464 324768    0    0     0   796 4713 12587  0  0 96  3  0
 0  1      0 129278752  64680 324984    0    0     0   716 3944 11582  0  0 97  3  0
 1  1      0 129277504  64912 325120    0    0     0   716 3847 12081  0  0 97  3  0
 0  1      0 129277208  65144 325204    0    0     0   676 3860 11534  0  0 96  3  0
 0  1      0 129277104  65360 325320    0    0     0   684 3784 11381  0  0 97  3  0
 1  1      0 129276328  65584 325380    0    0     0   752 3640 11644  0  0 96  3  0
 0  2      0 129275696  65792 325496    0    0     0   664 3811 11657  0  0 96  3  0
 0  1      0 129275088  66000 325672    0    0     0   660 3596 11512  0  0 97  3  0
 0  1      0 129275856  66240 325868    0    0     0   736 3828 12310  0  0 97  3  0
 0  1      0 129276112  66480 325904    0    0     0   736 3808 12454  0  0 96  3  0
 0  1      0 129275584  66696 326208    0    0     0   748 3657 11524  0  0 97  3  0
 0  1      0 129275192  66904 326364    0    0     0   656 3594 11463  0  0 97  3  0
 0  2      0 129275056  67132 326532    0    0     0   732 3823 11927  0  0 97  3  0
 0  1      0 129273872  67364 326532    0    0     0   708 3807 12302  0  0 96  3  0
 0  1      0 129273728  67596 327016    0    0     0   728 3701 11666  0  0 97  3  0
 0  2      0 129273144  67796 327048    0    0     0   644 3583 10739  0  0 96  3  0
 0  1      0 129273280  68004 326904    0    0     0   696 3829 11671  0  0 96  3  0
 1  1      0 129272768  68232 327428    0    0     0   748 3701 12200  0  0 97  3  0
 0  1      0 129272392  68432 327540    0    0     0   704 3697 11579  0  0 96  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 129272608  68616 327592    0    0     0   592 3543 10480  0  0 96  3  0
 0  1      0 129272048  68856 327684    0    0     0   748 3828 12524  0  0 96  3  0
 0  2      0 129271680  69032 327844    0    0     0   744 3729 11831  0  0 96  3  0
 0  1      0 129271288  69208 328016    0    0     0   688 3613 12204  0  0 97  3  0
 0  2      0 129270704  69368 328092    0    0     0   640 3649 10988  0  0 97  3  0
 0  1      0 129270128  69484 328380    0    0     0   692 3848 11785  0  0 97  3  0
 0  1      0 129270016  69584 328400    0    0     0   652 3823 11567  0  0 97  3  0
 0  2      0 129269752  69724 328488    0    0     0   676 3636 11456  0  0 96  3  0
 0  1      0 129268880  69868 328508    0    0     0   752 3794 12356  0  0 97  3  0
