procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0      0 129308944  10116 292656    0    0     0    24 11024 1474739 33 12 55  0  0
18  0      0 129308464  10116 292664    0    0     0     0 12893 1465287 33 13 55  0  0
18  0      0 129308384  10116 292648    0    0     0     0 10272 1460107 33 13 54  0  0
19  0      0 129307912  10116 292656    0    0     0     0 10803 1445492 33 12 55  0  0
18  0      0 129307680  10124 292652    0    0     0    12 10120 1415266 33 13 54  0  0
18  0      0 129307056  10124 292692    0    0     0     0 9913 1432178 33 13 55  0  0
20  0      0 129307480  10124 292668    0    0     0    12 11923 1420277 33 13 55  0  0
21  0      0 129307592  10124 292692    0    0     0     0 10807 1464124 33 13 55  0  0
18  0      0 129308112  10124 292688    0    0     0     0 10489 1456644 32 13 54  0  0
20  0      0 129307728  10132 292744    0    0     0    24 10843 1465448 33 13 54  0  0
19  0      0 129307288  10132 292824    0    0     0     0 11071 1439251 33 12 55  0  0
19  0      0 129308160  10132 292828    0    0     0    16 11771 1464999 33 13 55  0  0
17  0      0 129308624  10132 292852    0    0     0     0 11480 1441210 32 13 54  0  0
20  0      0 129308048  10132 292920    0    0     0     0 11324 1465146 33 12 55  0  0
19  0      0 129307904  10140 292952    0    0     0    24 12236 1453502 33 13 54  0  0
21  0      0 129308048  10140 292948    0    0     0     0 11700 1451705 33 13 55  0  0
19  0      0 129307040  10140 292952    0    0     0     0 11448 1458029 34 12 55  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0      0 129306304  10140 292980    0    0     0    16 11811 1462065 33 13 55  0  0
19  0      0 129306816  10140 292972    0    0     0     0 11452 1476497 32 13 54  0  0
18  0      0 129306640  10148 293016    0    0     0    24 11465 1474512 33 13 54  0  0
21  0      0 129306880  10148 293048    0    0     0     0 11187 1470692 32 13 55  0  0
17  0      0 129306752  10148 292996    0    0     0     0 10902 1482250 32 13 55  0  0
19  0      0 129306960  10148 293036    0    0     0    24 47229 1461155 33 13 55  0  0
18  0      0 129307176  10148 292992    0    0     0     0 50228 1449540 33 13 55  0  0
20  0      0 129306368  10156 292936    0    0     0    24 33497 1489199 33 13 54  0  0
18  0      0 129306032  10156 292944    0    0     0     0 10971 1463945 33 12 55  0  0
26  0      0 129306496  10156 292980    0    0     0     0 10868 1457678 33 13 55  0  0
17  0      0 129306848  10156 293012    0    0     0     0 11230 1467327 33 13 54  0  0
18  0      0 129307248  10156 293016    0    0     0    28 11783 1447124 32 13 54  0  0
19  0      0 129306880  10164 293016    0    0     0    24 11073 1477426 33 13 54  0  0
20  0      0 129306240  10164 293016    0    0     0     0 11571 1464892 33 13 54  0  0
17  0      0 129306928  10164 293016    0    0     0     0 11425 1462030 32 13 55  0  0
21  0      0 129307560  10164 292988    0    0     0     0 11532 1474113 33 13 55  0  0
18  0      0 129307648  10164 293048    0    0     0     0 10961 1466112 33 12 54  0  0
20  0      0 129307344  10172 293012    0    0     0    24 10935 1474829 33 13 54  0  0
18  0      0 129307120  10172 293004    0    0     0     0 11235 1478503 33 12 55  0  0
18  0      0 129307024  10172 292980    0    0     0     0 10327 1489693 33 13 54  0  0
18  0      0 129307048  10172 292976    0    0     0     0 9506 1497473 33 13 54  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
20  0      0 129307504  10172 293044    0    0     0     0 10152 1500320 33 12 55  0  0
18  0      0 129307040  10180 293176    0    0     0    24 9846 1488460 33 12 55  0  0
19  0      0 129307248  10180 293232    0    0     0    16 9753 1483969 33 12 55  0  0
20  0      0 129306224  10180 293428    0    0     0     0 9566 1486125 33 13 54  0  0
19  0      0 129306648  10180 293392    0    0     0     0 10375 1490411 33 12 55  0  0
17  0      0 129307136  10180 293424    0    0     0     0 10824 1480425 32 13 54  0  0
19  0      0 129306048  10188 293496    0    0     0    24 9988 1479774 33 12 55  0  0
17  0      0 129305952  10188 293528    0    0     0     0 10810 1489624 32 14 54  0  0
18  0      0 129305936  10188 293532    0    0     0    12 11073 1475515 33 13 55  0  0
20  0      0 129306032  10188 293476    0    0     0     0 10164 1490586 33 13 54  0  0
19  0      0 129305592  10188 293596    0    0     0     0 10397 1466586 33 13 54  0  0
19  0      0 129305800  10196 293548    0    0     0    24 12258 1457552 33 13 55  0  0
20  0      0 129305696  10196 293532    0    0     0     0 11147 1466855 33 13 55  0  0
18  0      0 129305968  10196 293500    0    0     0    24 11093 1471626 33 13 54  0  0
21  0      0 129306000  10196 293468    0    0     0     0 10397 1466852 32 13 54  0  0
19  0      0 129305024  10196 293480    0    0     0     0 11473 1482565 33 13 55  0  0
20  0      0 129305024  10204 293484    0    0     0    12 12401 1457011 33 13 54  0  0
20  0      0 129305496  10204 293484    0    0     0     0 11573 1461023 33 13 55  0  0
17  0      0 129305264  10204 293476    0    0     0     0 11214 1469450 33 12 55  0  0
16  0      0 129305520  10204 293468    0    0     0    16 11446 1442269 33 13 55  0  0
18  0      0 129305312  10204 293452    0    0     0     0 11348 1455052 33 13 55  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  0      0 129306288  10212 293340    0    0     0    24 10896 1459616 32 13 54  0  0
17  0      0 129306512  10212 293364    0    0     0     0 10886 1473581 32 13 55  0  0
16  0      0 129306384  10212 293368    0    0     0     0 11084 1448708 32 13 54  0  0
19  0      0 129306464  10212 293300    0    0     0     0 11871 1444252 33 13 55  0  0
18  0      0 129307392  10212 293292    0    0     0    12 12413 1448592 33 12 55  0  0
16  0      0 129307264  10220 293308    0    0     0    24 11927 1454716 32 13 55  0  0
20  0      0 129307360  10220 293316    0    0     0     0 11924 1467469 32 13 54  0  0
17  0      0 129307888  10220 293300    0    0     0     0 41516 1453141 33 13 55  0  0
17  0      0 129307712  10220 293300    0    0     0     0 26555 1473938 33 13 55  0  0
17  0      0 129307792  10220 293228    0    0     0     0 10230 1458809 33 13 55  0  0
17  0      0 129307552  10228 293220    0    0     0    32 11411 1473929 33 13 54  0  0
17  0      0 129306488  10228 293192    0    0     0     0 11485 1452075 33 13 55  0  0
17  0      0 129306992  10228 293188    0    0     0     0 11297 1467458 33 13 54  0  0
18  0      0 129306064  10228 293216    0    0     0     0 10949 1456746 32 13 54  0  0
22  1      0 129306040  10236 293160    0    0     0    36 11382 1451762 33 12 55  0  0
