procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0      0 129498192  10148 288540    0    0   156     0 10795 1407608 33 12 54  0  0
20  0      0 129498336  10156 288612    0    0     0    28 11852 1395875 33 13 54  0  0
21  0      0 129499032  10156 288564    0    0     0     0 10734 1416775 33 13 55  0  0
16  0      0 129499200  10156 288544    0    0     0     0 10008 1438491 33 12 55  0  0
20  0      0 129499264  10156 288616    0    0     0    24 11788 1416475 33 13 55  0  0
16  0      0 129495728  10172 290928    0    0  1148     0 12137 1423289 33 12 54  1  0
18  0      0 129495856  10180 290936    0    0     0    60 11656 1425677 33 12 55  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
21  0      0 129496848  10180 290944    0    0     0     0 11358 1411106 33 13 55  0  0
18  0      0 129497016  10180 290908    0    0     0     0 11480 1424580 33 13 55  0  0
20  0      0 129497232  10180 290844    0    0     0  1308 10606 1419488 33 12 55  0  0
18  0      0 129497952  10180 290848    0    0     0     0 11036 1417805 32 13 55  0  0
19  0      0 129498016  10188 290804    0    0     0    24 12834 1421149 32 13 54  0  0
19  0      0 129497584  10188 290860    0    0     0     0 11784 1444980 33 13 55  0  0
19  0      0 129497080  10188 290860    0    0     0     0 10878 1456349 33 12 55  0  0
20  0      0 129497056  10188 290828    0    0     0     0 11418 1448054 33 12 55  0  0
20  0      0 129496696  10188 290772    0    0     0    28 11891 1436709 33 12 55  0  0
18  0      0 129497744  10196 290740    0    0     0    24 12972 1438434 33 12 55  0  0
19  0      0 129497984  10196 290668    0    0     0     0 12529 1431487 33 13 55  0  0
17  0      0 129497152  10196 290612    0    0     0     0 13289 1428420 33 13 55  0  0
20  0      0 129497440  10196 290632    0    0     0     0 13041 1434862 33 12 55  0  0
22  0      0 129497160  10196 290632    0    0     0    12 12354 1434127 33 12 55  0  0
19  0      0 129497152  10204 290688    0    0     0    24 12538 1437951 33 13 55  0  0
18  0      0 129497880  10204 290712    0    0     0     0 11913 1444722 33 13 54  0  0
18  0      0 129497536  10204 290704    0    0     0     0 13388 1428835 33 13 54  0  0
18  0      0 129497408  10204 290704    0    0     0     0 23785 1452542 32 13 55  0  0
17  0      0 129497024  10204 290696    0    0     0     0 53014 1437482 33 13 55  0  0
17  0      0 129496352  10212 290496    0    0     0    36 32751 1463858 33 13 55  0  0
19  0      0 129497736  10212 290504    0    0     0     0 12796 1443217 33 13 54  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0      0 129497600  10212 290508    0    0     0     0 11183 1447623 33 12 55  0  0
16  0      0 129496496  10212 290588    0    0     0     0 11273 1450870 33 12 54  0  0
18  0      0 129497672  10212 290600    0    0     0     0 12388 1402659 33 12 55  0  0
17  0      0 129497680  10224 290572    0    0     0    32 9711 1408784 33 13 54  0  0
19  0      0 129498032  10224 290580    0    0     0     0 12169 1412988 33 12 55  0  0
19  0      0 129497600  10224 290560    0    0     0     0 11615 1398440 33 13 54  0  0
17  0      0 129496576  10224 290564    0    0     0     0 13813 1402638 33 13 55  0  0
17  0      0 129496696  10224 290564    0    0     0     0 11765 1459268 33 12 55  0  0
17  0      0 129496232  10232 290548    0    0     0    44 11183 1439233 33 12 54  0  0
17  0      0 129495552  10232 290492    0    0     0    32 13430 1429704 33 12 55  0  0
19  0      0 129496000  10232 290452    0    0     0     0 11864 1434566 33 13 55  0  0
20  0      0 129496016  10232 290424    0    0     0     0 11913 1438142 33 12 55  0  0
18  0      0 129495968  10232 290388    0    0     0     0 12810 1430571 32 13 55  0  0
22  0      0 129496624  10240 290380    0    0     0    28 12240 1446033 33 12 55  0  0
19  0      0 129496512  10240 290520    0    0   128    20 18183 1435242 33 13 55  0  0
20  0      0 129496528  10240 290408    0    0     0     0 12979 1431396 33 13 55  0  0
18  0      0 129495576  10240 290376    0    0     0     0 11455 1432678 33 13 54  0  0
17  0      0 129495456  10240 290368    0    0     0     0 11548 1440200 33 13 55  0  0
17  0      0 129496880  10248 290328    0    0     0    24 10635 1462346 33 13 54  0  0
17  0      0 129496752  10248 290328    0    0     0     0 12137 1466493 33 13 54  0  0
17  0      0 129496384  10248 290340    0    0     0    20 11295 1452931 33 12 55  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
20  0      0 129495984  10248 290344    0    0     0     0 11108 1425287 33 13 54  0  0
18  0      0 129496880  10248 290380    0    0     0     0 11958 1414151 33 12 55  0  0
18  0      0 129497872  10496 290396    0    0   272    12 11529 1428209 32 13 54  0  0
19  0      0 129498096  10496 289164    0    0     0     0 11638 1443281 33 12 54  0  0
18  0      0 129498512  10496 289156    0    0     0    24 12039 1439052 33 12 55  0  0
18  0      0 129498552  10496 289100    0    0     0     0 12419 1430495 33 13 54  0  0
17  0      0 129499168  10496 289100    0    0     0     0 11112 1435888 33 12 55  0  0
20  0      0 129498792  10504 289092    0    0     0    72 10635 1445487 34 12 55  0  0
22  0      0 129498704  10504 289096    0    0     0     0 12055 1419260 33 13 55  0  0
16  0      0 129498864  10504 289052    0    0     0     0 12016 1416495 33 13 55  0  0
20  0      0 129498360  10504 289068    0    0     0    60 11312 1431502 33 13 55  0  0
19  0      0 129498944  10504 289012    0    0     0     0 11034 1433635 33 12 55  0  0
18  0      0 129499032  10512 289028    0    0     0    24 11690 1435690 33 13 55  0  0
17  0      0 129498816  10512 289012    0    0     0     0 12143 1430006 34 12 55  0  0
19  0      0 129499296  10512 289036    0    0     0     0 12113 1405652 33 13 55  0  0
19  0      0 129485904  13680 292392    0    0  6552    16 13747 1425158 33 13 53  2  0
